address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x13a44b92bbc4d7c4deb2f4279d3c9b97313f048c,958704540658618315028,958704540658618315028,958704540658618315028,0,0,958704540658618315028,2540778951397552205203,0,0,0,0,0,0,0,2540778951397552205203
0xd507b55a3c55d704375a93c24b7092c13c061e04,0,0,0,0,0,0,0,483063724104355282203,483063724104355282203,483063724104355282203,0,0,483063724104355282203,2481078813785590411314,2481078813785590411314
0x152c6f22dd470d904307bd3fed09d9f4f27c4a64,897364561429366180262,897364561429366180262,897364561429366180262,0,0,897364561429366180262,2378214447428708048267,0,0,0,0,0,0,0,2378214447428708048267
0x41b0043f68dffb27000c46ec0ee0583967ad31f4,415188522416190003317,415188522416190003317,415188522416190003317,0,0,415188522416190003317,1100341360532413210306,234779862631058662140,234779862631058662140,234779862631058662140,0,0,234779862631058662140,1205860249923409700228,2306201610455822910534
0x61d1a2d3907debce56df8651faf710c3b5446898,0,0,0,0,0,0,0,414950064109511749447,465065565495188237554,440007814802349993500,0,0,440007814802349993500,2259938001410281438970,2259938001410281438970
0xef108281ee13503cdc57d087e77a7331ed5e3974,417489453280607106131,417489453280607106131,417489453280607106131,0,0,417489453280607106131,1106439335936718390260,206824596162377166335,206824596162377166335,206824596162377166335,0,0,206824596162377166335,1062278324996683378143,2168717660933401768403
0xd5bda68bfb2211b093b43b0fe8524ebee597538f,788488421220274613724,788488421220274613724,788488421220274613724,0,0,788488421220274613724,2089668609142986602840,0,0,0,0,0,0,0,2089668609142986602840
0x7505f118dacfc0ecfa1f1398c244c67b58113510,272944682103199232142,272944682103199232142,272944682103199232142,0,0,272944682103199232142,723363741145195964868,260558924304810503149,260558924304810503149,260558924304810503149,0,0,260558924304810503149,1338264900834850671730,2061628641980046636598
0xca977a85327dd36494d57ff11ca3be02af1142aa,0,0,0,0,0,0,0,779315074699500415795,0,389657537349750207897,0,0,389657537349750207897,2001332354945127351379,2001332354945127351379
0x43bcfdea39d63dd08e2948871c12bc4255ab62ee,515239083987790756946,0,257619541993895378473,0,0,257619541993895378473,682748732281059548858,0,502342140404915277090,251171070202457638545,0,0,251171070202457638545,1290047647586444652083,1972796379867504200941
0xc0b98c8ce77855c8a68c44c6d3a9acd0134c1a4a,0,0,0,0,0,0,0,373773214034419946780,373773214034419946780,373773214034419946780,0,0,373773214034419946780,1919748381480639501598,1919748381480639501598
0x6b711ee0b5e59777bbe00c0ec07e2455a8c3e39a,632029445598584472191,632029445598584472191,632029445598584472191,0,0,632029445598584472191,1675017738976338175370,32007664919230083075,32007664919230083075,32007664919230083075,0,0,32007664919230083075,164395576291906537949,1839413315268244713319
0xb30dd0e567ed68efb05263258b2cc0791ff145ea,571173777647353189272,571173777647353189272,571173777647353189272,0,0,571173777647353189272,1513736766949748584875,61345330279494300502,61345330279494300502,61345330279494300502,0,0,61345330279494300502,315077683722433605831,1828814450672182190706
0xc3eb580bd101a062c091e6ecb4cc940f9e0ab9f0,1346097600935384520027,0,673048800467692260013,0,0,673048800467692260013,1783728096580086593920,0,0,0,0,0,0,0,1783728096580086593920
0x4a8977354010225d0d342c25af92887964d48922,469442499398517023988,0,234721249699258511994,0,0,234721249699258511994,622063196104091510768,200916202473993354515,200916202473993354515,200916202473993354515,0,0,200916202473993354515,1031932038011600677533,1653995234115692188301
0x121316c0b90deb688d92755f2263f06449eec5d6,0,0,0,0,0,0,0,310124786204907168003,310124786204907168003,310124786204907168003,0,0,310124786204907168003,1592841685865361038545,1592841685865361038545
